date,name,lat,lon,wind_speed,category
2010-07-01 02:00:00,ALEX,24.2,-97.7,95.0,Category 2
2010-07-08 14:00:00,TWO,26.1,-97.1,30.0,Tropical Depression
2010-07-22 23:15:00,BONNIE,23.0,-75.7,35.0,Tropical Storm
2010-07-23 05:15:00,BONNIE,23.7,-77.5,40.0,Tropical Storm
2010-07-23 14:30:00,BONNIE,25.4,-80.2,35.0,Tropical Storm
2010-09-04 15:00:00,EARL,44.3,-64.5,65.0,Category 1
2010-09-04 19:00:00,EARL,46.0,-62.7,60.0,Tropical Storm
2010-09-07 02:00:00,HERMINE,25.3,-97.4,60.0,Tropical Storm
2010-09-15 12:45:00,KARL,18.5,-87.8,55.0,Tropical Storm
2010-09-17 16:45:00,KARL,19.3,-96.2,100.0,Category 3
2010-09-21 15:00:00,IGOR,46.6,-53.2,75.0,Category 1
2010-09-24 19:00:00,MATTHEW,14.7,-83.3,50.0,Tropical Storm
2010-09-25 15:00:00,MATTHEW,16.5,-88.4,35.0,Tropical Storm
2010-10-11 12:00:00,PAULA,15.0,-83.2,45.0,Tropical Storm
2010-10-14 15:00:00,PAULA,22.7,-83.9,55.0,Tropical Storm
2010-10-25 00:30:00,RICHARD,17.2,-88.3,85.0,Category 2
2010-10-30 09:00:00,TOMAS,13.0,-59.5,60.0,Tropical Storm
2010-10-30 20:00:00,TOMAS,13.4,-61.2,85.0,Category 2
2010-11-06 07:30:00,TOMAS,21.7,-71.6,60.0,Tropical Storm
2011-06-30 13:00:00,ARLENE,21.6,-97.4,55.0,Tropical Storm
2011-07-30 02:30:00,DON,27.3,-97.4,30.0,Tropical Depression
2011-08-20 17:30:00,HARVEY,17.0,-88.3,55.0,Tropical Storm
2011-08-21 23:00:00,IRENE,17.8,-64.6,60.0,Tropical Storm
2011-08-22 02:00:00,HARVEY,18.7,-95.2,35.0,Tropical Storm
2011-08-22 05:25:00,IRENE,18.1,-65.8,60.0,Tropical Storm
2011-08-24 16:00:00,IRENE,22.4,-74.0,100.0,Category 3
2011-08-25 00:00:00,IRENE,23.5,-75.1,95.0,Category 2
2011-08-25 09:00:00,IRENE,24.7,-76.2,90.0,Category 2
2011-08-25 18:00:00,IRENE,26.5,-77.2,90.0,Category 2
2011-08-27 12:00:00,IRENE,34.7,-76.6,75.0,Category 1
2011-08-28 09:35:00,IRENE,39.4,-74.4,60.0,Tropical Storm
2011-08-28 13:00:00,IRENE,40.6,-74.0,55.0,Tropical Storm
2011-09-04 10:30:00,LEE,29.6,-92.1,40.0,Tropical Storm
2011-09-11 16:00:00,NATE,20.5,-97.0,40.0,Tropical Storm
2011-09-16 18:30:00,MARIA,47.0,-53.5,60.0,Tropical Storm
2011-10-28 02:00:00,RINA,20.5,-87.2,50.0,Tropical Storm
2012-05-28 04:10:00,BERYL,30.2,-81.4,55.0,Tropical Storm
2012-06-26 21:00:00,DEBBY,29.3,-83.2,35.0,Tropical Storm
2012-08-08 01:00:00,ERNESTO,18.7,-87.2,80.0,Category 1
2012-08-08 03:15:00,ERNESTO,18.8,-87.7,85.0,Category 2
2012-08-09 16:15:00,ERNESTO,18.3,-94.6,55.0,Tropical Storm
2012-08-18 12:00:00,HELENE,21.9,-97.7,30.0,Tropical Depression
2012-08-20 05:30:00,GORDON,37.0,-25.1,65.0,Category 1
2012-08-25 06:00:00,ISAAC,18.3,-72.7,55.0,Tropical Storm
2012-08-25 15:00:00,ISAAC,20.1,-74.5,50.0,Tropical Storm
2012-08-29 00:00:00,ISAAC,28.9,-89.4,70.0,Category 1
2012-08-29 08:00:00,ISAAC,29.2,-90.2,70.0,Category 1
2012-10-24 19:00:00,SANDY,17.9,-76.6,75.0,Category 1
2012-10-25 05:25:00,SANDY,20.0,-76.0,100.0,Category 3
2012-10-29 23:30:00,SANDY,39.4,-74.4,70.0,Category 1
2013-06-06 22:00:00,ANDREA,29.5,-83.4,50.0,Tropical Storm
2013-06-17 22:00:00,BARRY,16.5,-88.4,30.0,Tropical Depression
2013-06-20 11:15:00,BARRY,19.6,-96.4,40.0,Tropical Storm
2013-08-26 04:45:00,FERNAND,19.5,-96.3,50.0,Tropical Storm
2013-09-06 18:00:00,EIGHT,22.3,-97.9,30.0,Tropical Depression
2013-09-16 11:15:00,INGRID,23.7,-97.7,55.0,Tropical Storm
2014-07-04 03:15:00,ARTHUR,34.7,-76.6,85.0,Category 2
2014-07-04 08:00:00,ARTHUR,35.8,-75.5,85.0,Category 2
2014-08-03 14:00:00,BERTHA,21.8,-71.9,40.0,Tropical Storm
2014-09-03 04:00:00,DOLLY,22.0,-97.7,40.0,Tropical Storm
2014-10-12 08:10:00,FAY,32.3,-64.7,70.0,Category 1
2014-10-13 14:30:00,GONZALO,17.1,-61.8,65.0,Category 1
2014-10-13 22:45:00,GONZALO,18.1,-63.0,75.0,Category 1
2014-10-13 23:15:00,GONZALO,18.2,-63.1,75.0,Category 1
